Nodes,Edges,bfs-time in (ms),ffa-time in (s)
531,60391,24,10
532,60467,18,9
533,60654,18,9
534,61019,19,10
535,61206,15,9
536,61473,16,10
537,61540,19,10
538,62040,19,11
539,62000,19,10
540,62470,19,10
541,62521,24,9
542,62848,18,12
543,62992,19,9
544,63303,19,11
545,63515,19,10
546,63686,18,10
547,64122,22,11
548,64335,21,10
549,64447,19,11
550,64611,16,9
551,64858,18,8
552,65166,20,10
553,65488,23,9
554,65656,21,9
555,65840,21,9
556,66071,24,9
557,66451,21,9
558,66538,20,12
559,66808,20,13
560,66938,20,11
561,67352,20,14
562,67620,20,16
563,67846,22,11
564,67986,21,9
565,68406,20,9
566,68846,17,8
567,68792,20,9
568,68763,22,9
569,69587,21,8
570,69744,16,11
571,69796,20,9
572,70332,23,8
573,70365,17,9
574,70629,16,9
575,70852,15,11
576,71201,17,9
577,71315,17,9
578,71521,17,9
579,71673,21,8
580,72141,17,8
581,72439,16,10
582,72447,16,10
583,72862,16,9
584,73145,16,8
585,73447,17,8
586,73553,17,9
587,73619,16,8
588,74228,17,9
589,74399,16,9
590,74716,17,10
591,74913,16,12
592,75246,17,11
593,75465,16,14
594,75696,17,11
595,75915,16,10
596,76419,18,14
597,76456,17,12
598,76831,21,8
599,77057,23,8
600,77481,58,9
601,77718,15,9
602,77919,19,8
603,78279,21,9
604,78382,24,11
605,78677,23,13
606,78947,18,10
607,79212,18,12
608,79508,17,10
609,79671,17,11
610,80070,17,9
611,80245,22,10
612,80537,22,10
613,80776,19,9
614,81057,22,9
615,81327,24,9
616,81663,19,11
617,82069,22,10
618,82062,18,11
619,82390,22,9
620,82627,21,9
621,82899,18,9
622,83147,17,9
623,83524,18,8
624,83451,21,10
625,84142,23,9
626,84408,17,9
627,84577,18,10
628,85021,22,10
629,85116,23,9
630,85225,24,12
631,85573,19,11
632,85972,18,10
633,86560,18,10
634,86540,18,10
635,86791,18,10
636,87054,21,10
637,87373,25,9
638,87525,19,11
639,87865,23,10
640,88197,18,10
641,88607,17,10
642,88735,18,12
643,88855,24,11
644,89254,25,11
645,89297,25,10
646,89986,19,12
647,90230,23,10
648,90454,25,12
649,90855,27,8
650,91200,19,10
651,91185,23,12
652,91967,20,11
653,92051,26,9
654,92029,24,12
655,92524,22,12
656,92704,19,11
657,93002,23,12
658,93152,25,10
659,93441,27,12
660,93693,22,11
661,94300,19,12
662,94340,22,12
663,94903,18,12
664,94982,22,11
665,95258,20,11
666,95490,20,12
667,95840,30,11
668,96211,19,13
669,96582,23,12
670,96833,26,12
671,97269,19,11
672,97518,23,12
673,97708,20,11
674,97832,24,14
675,98426,25,12
676,98721,25,11
677,98766,21,12
678,99472,26,12
679,99779,23,12
680,99828,21,13
681,100134,24,13
682,100280,24,11
683,100667,20,12
684,101176,20,13
685,101417,23,11
686,101696,23,14
687,101893,25,13
688,102074,23,11
689,102466,20,10
690,102646,24,13
691,102920,20,12
692,103619,24,12
693,103670,26,12
694,104031,21,12
695,104282,24,12
696,104756,24,12
697,105075,20,13
698,105307,24,12
699,105798,28,13
700,105921,24,13
701,106113,21,14
702,106622,24,13
703,106593,30,13
704,107118,20,13
705,107280,24,14
706,107872,20,11
707,108009,23,14
708,108380,20,13
709,108910,24,13
710,109019,24,15
711,109421,21,13
712,109695,24,14
713,110198,21,14
714,110158,28,13
715,110583,26,13
716,110986,21,11
717,111112,24,13
718,111437,25,15
719,111774,21,14
720,112172,24,12
721,112410,23,13
722,112714,20,14
723,113176,23,12
724,113209,25,13
725,113572,30,14
726,113876,21,14
727,114056,20,14
728,114595,24,13
729,114866,25,12
730,115181,25,12
731,115382,25,11
732,116075,24,12
733,116427,24,13
734,116580,26,13
735,116927,25,14
736,117301,27,12
737,117637,24,14
738,117925,26,14
739,118299,25,13
740,118550,25,14
741,118794,27,10
742,119204,27,15
743,119404,31,12
744,120057,25,13
745,120190,26,13
746,120453,25,16
747,121025,26,15
748,121269,26,14
749,121345,25,17
750,121815,24,18
751,122214,29,14
752,122818,25,13
753,122500,25,13
754,123186,22,14
755,123261,22,14
756,124011,22,12
